load_libraries,extraction,transformation,insertion
0.816081047058105,5.77530360221863,1.5061571598053,0.818783044815063
0.319369792938232,3.67183423042297,1.48552393913269,0.829171180725098
0.324831247329712,3.64174270629883,1.49898934364319,0.808509349822998
0.0267531871795654,5.68777012825012,1.2412588596344,0.922513723373413
0.34938645362854,6.07965397834778,1.44791436195374,0.905851602554321
0.346116542816162,3.80812239646912,1.25591802597046,0.890280723571777
0.333209276199341,3.70055651664734,1.25518846511841,0.869813442230225
0.309630870819092,3.69974994659424,1.23789858818054,0.858688354492188
0.31378173828125,3.51134490966797,1.23890137672424,0.862937927246094
0.380248546600342,4.04754161834717,1.28998589515686,0.872331380844116
